"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2000","1.56","1.59","1.6","1.56","-0","-2.29%"
"Jan 04, 2000","1.55","1.56","1.57","1.55","-0","-1.01%"
"Jan 05, 2000","1.55","1.56","1.56","1.54","-0","-0.6%"
"Jan 06, 2000","1.55","1.55","1.56","1.54","-0","-0.58%"
"Jan 07, 2000","1.56","1.55","1.57","1.55","0","0.42%"
"Jan 10, 2000","1.56","1.56","1.57","1.56","0","-0.14%"
"Jan 11, 2000","1.55","1.57","1.57","1.56","-0","-1.1%"
"Jan 12, 2000","1.56","1.56","1.57","1.55","0","-0.19%"
"Jan 13, 2000","1.56","1.56","1.57","1.56","0","0.18%"
"Jan 14, 2000","1.58","1.57","1.6","1.57","0","0.9%"
"Jan 17, 2000","1.59","1.59","1.6","1.59","0","-0.34%"
"Jan 18, 2000","1.58","1.6","1.6","1.59","-0","-0.73%"
"Jan 19, 2000","1.59","1.59","1.6","1.59","0","-0.29%"
"Jan 20, 2000","1.58","1.59","1.6","1.58","-0","-1.05%"
"Jan 21, 2000","1.59","1.58","1.6","1.58","0","0.35%"
"Jan 24, 2000","1.59","1.6","1.61","1.6","0","-0.8%"
"Jan 25, 2000","1.6","1.6","1.61","1.6","0","0.29%"
"Jan 26, 2000","1.6","1.61","1.61","1.6","-0","-0.48%"
"Jan 27, 2000","1.62","1.61","1.63","1.61","0","0.93%"
"Jan 28, 2000","1.64","1.63","1.65","1.63","0","0.62%"
"Jan 31, 2000","1.65","1.65","1.66","1.64","0","0.11%"
"Feb 01, 2000","1.65","1.66","1.66","1.64","-0","-0.5%"
"Feb 02, 2000","1.64","1.65","1.66","1.64","-0","-0.75%"
"Feb 03, 2000","1.61","1.65","1.66","1.62","-0","-2.14%"
"Feb 04, 2000","1.63","1.62","1.65","1.62","0","0.25%"
"Feb 07, 2000","1.63","1.63","1.65","1.63","0","-0.13%"
"Feb 08, 2000","1.62","1.64","1.64","1.62","-0","-0.81%"
"Feb 09, 2000","1.61","1.63","1.63","1.61","-0","-1.27%"
"Feb 10, 2000","1.62","1.62","1.63","1.62","0","0.23%"
"Feb 11, 2000","1.62","1.63","1.64","1.62","-0","-0.69%"
"Feb 14, 2000","1.63","1.62","1.64","1.62","0","0.66%"
"Feb 15, 2000","1.63","1.64","1.64","1.63","-0","-0.9%"
"Feb 16, 2000","1.62","1.64","1.64","1.62","-0","-1.15%"
"Feb 17, 2000","1.62","1.62","1.63","1.61","-0","-0.57%"
"Feb 18, 2000","1.62","1.62","1.64","1.62","0","-0.28%"
"Feb 21, 2000","1.62","1.63","1.63","1.62","-0","-0.72%"
"Feb 22, 2000","1.59","1.62","1.62","1.59","-0","-1.74%"
"Feb 23, 2000","1.6","1.6","1.61","1.59","0","-0.14%"
"Feb 24, 2000","1.61","1.61","1.63","1.6","0","0.43%"
"Feb 25, 2000","1.64","1.62","1.65","1.62","0","1.39%"
"Feb 28, 2000","1.64","1.65","1.67","1.65","0","-0.3%"
"Feb 29, 2000","1.66","1.65","1.67","1.64","0","0.27%"
"Mar 01, 2000","1.64","1.66","1.67","1.65","-0","-1.3%"
"Mar 02, 2000","1.65","1.65","1.67","1.64","0","0.26%"
"Mar 03, 2000","1.67","1.66","1.67","1.66","0","0.07%"
"Mar 06, 2000","1.67","1.68","1.68","1.66","0","-0.5%"
"Mar 07, 2000","1.67","1.68","1.69","1.67","-0","-0.57%"
"Mar 08, 2000","1.66","1.67","1.69","1.67","-0","-0.68%"
"Mar 09, 2000","1.65","1.67","1.67","1.66","-0","-0.97%"
"Mar 10, 2000","1.66","1.66","1.67","1.66","0","0.07%"
"Mar 13, 2000","1.66","1.67","1.67","1.65","-0","-0.56%"
"Mar 14, 2000","1.66","1.67","1.68","1.66","-0","-0.8%"
"Mar 15, 2000","1.66","1.66","1.67","1.66","0","-0.32%"
"Mar 16, 2000","1.65","1.67","1.67","1.65","-0","-0.96%"
"Mar 17, 2000","1.65","1.66","1.67","1.66","-0","-0.69%"
"Mar 20, 2000","1.65","1.66","1.66","1.65","-0","-0.47%"
"Mar 21, 2000","1.66","1.66","1.67","1.65","0","0.52%"
"Mar 22, 2000","1.67","1.67","1.68","1.67","0","-0.58%"
"Mar 23, 2000","1.64","1.67","1.68","1.64","-0","-2.16%"
"Mar 24, 2000","1.62","1.64","1.65","1.62","-0","-1.74%"
"Mar 27, 2000","1.64","1.62","1.65","1.62","0","0.78%"
"Mar 28, 2000","1.65","1.64","1.66","1.64","0","0.37%"
"Mar 29, 2000","1.67","1.66","1.68","1.66","0","0.75%"
"Mar 30, 2000","1.65","1.68","1.68","1.66","-0","-1.57%"
"Mar 31, 2000","1.66","1.66","1.67","1.65","0","0.04%"
"Apr 03, 2000","1.64","1.66","1.67","1.65","-0","-1.07%"
"Apr 04, 2000","1.63","1.65","1.66","1.61","-0","-1.26%"
"Apr 05, 2000","1.63","1.64","1.64","1.62","-0","-0.64%"
"Apr 06, 2000","1.63","1.64","1.64","1.63","0","-0.33%"
"Apr 07, 2000","1.64","1.64","1.65","1.63","0","-0.19%"
"Apr 10, 2000","1.63","1.64","1.65","1.63","-0","-1.1%"
"Apr 11, 2000","1.63","1.63","1.64","1.63","0","0.04%"
"Apr 12, 2000","1.63","1.64","1.66","1.64","0","-0.41%"
"Apr 13, 2000","1.64","1.64","1.65","1.64","0","-0.12%"
"Apr 14, 2000","1.62","1.65","1.65","1.63","-0","-1.48%"
"Apr 17, 2000","1.64","1.63","1.65","1.62","0","0.65%"
"Apr 18, 2000","1.66","1.65","1.67","1.65","0","0.6%"
"Apr 19, 2000","1.66","1.67","1.68","1.66","0","-0.31%"
"Apr 20, 2000","1.67","1.67","1.68","1.67","0","0.06%"
