        Date	Price
        21.02.2020	11110.78
          20.02.2020	11154.53
          19.02.2020	11263.01
          18.02.2020	11146.28
          17.02.2020	11168.45
          14.02.2020	11128.81
          13.02.2020	11092.35
          12.02.2020	11089.24
          11.02.2020	11101.17
          10.02.2020	11039.78
          07.02.2020	11001.53
          06.02.2020	11012.36
          05.02.2020	10994.15
          04.02.2020	10800.64
          03.02.2020	10664.95
          31.01.2020	10627.88
          30.01.2020	10748.92
          29.01.2020	10859.88
          28.01.2020	10781.98
          27.01.2020	10675.96
          24.01.2020	10849.75
          23.01.2020	10813.94
          22.01.2020	10895.07
          21.01.2020	10884.51
          20.01.2020	10846.29
          17.01.2020	10841.82
          16.01.2020	10693.52
          15.01.2020	10670.74
          14.01.2020	10655.82
          13.01.2020	10622.41
          10.01.2020	10639.49
          09.01.2020	10650.97
          08.01.2020	10652.16
          07.01.2020	10686.8
          06.01.2020	10665.41
          03.01.2020	10699.82
          30.12.2019	10616.94
          27.12.2019	10730.15
          23.12.2019	10724.34
          20.12.2019	10679.37
          19.12.2019	10575.15
          18.12.2019	10556.74
          17.12.2019	10538.89
          16.12.2019	10541.67
          13.12.2019	10429.27
          12.12.2019	10451.36
          11.12.2019	10405.31
          10.12.2019	10390.53
          09.12.2019	10434.89
          06.12.2019	10463.88
          05.12.2019	10363.5
          04.12.2019	10334.56
          03.12.2019	10232.93
          02.12.2019	10348.44
          29.11.2019	10493.24
          28.11.2019	10529.14
          27.11.2019	10529.26
          26.11.2019	10506.93
          25.11.2019	10468.62
          22.11.2019	10369.44
          21.11.2019	10338.35
          20.11.2019	10385.74
          19.11.2019	10366.02
          18.11.2019	10347.18
          15.11.2019	10310.12
          14.11.2019	10233.23
          13.11.2019	10299.22
          12.11.2019	10314.16
          11.11.2019	10305.27
          08.11.2019	10309.23
          07.11.2019	10326.78
          06.11.2019	10318.1
          05.11.2019	10272.98
          04.11.2019	10337.07
          01.11.2019	10252.24
          31.10.2019	10219.82
          30.10.2019	10254.95
          29.10.2019	10257.69
          28.10.2019	10231.8
          25.10.2019	10197.09
          24.10.2019	10106.53
          23.10.2019	10023.52
          22.10.2019	10017.35
          21.10.2019	9991.42
          18.10.2019	9965.49
          17.10.2019	10008.94
          16.10.2019	10032.49
          15.10.2019	10048.75
          14.10.2019	9964.24
          11.10.2019	10017.39
          10.10.2019	9903.02
          09.10.2019	9830.05
          08.10.2019	9800.24
          07.10.2019	9914.06
          04.10.2019	9827.72
          03.10.2019	9760.44
          02.10.2019	9757.28
          01.10.2019	9952.5
          30.09.2019	10078.32
          27.09.2019	10037.81
          26.09.2019	10010.71
          25.09.2019	9914.82
          24.09.2019	9991.31
          23.09.2019	9997.39
          20.09.2019	10056.83
          19.09.2019	10064.46
          18.09.2019	10018.84
          17.09.2019	10013.82
