"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2021","84.5202","83.6778","84.6145","83.1847","-","1.03%"
"Mar 18, 2021","83.6598","85.8423","85.8516","83.5643","-","-2.37%"
"Mar 17, 2021","85.6924","85.9053","86.1559","85.3669","-","-0.31%"
"Mar 16, 2021","85.9592","85.8070","85.9757","85.4099","-","-0.00%"
"Mar 15, 2021","85.9626","86.2739","86.3216","85.5033","-","0.00%"
"Mar 12, 2021","85.9584","86.0684","86.2339","85.5623","-","-0.37%"
"Mar 11, 2021","86.2749","85.5940","86.2866","85.5806","-","1.09%"
"Mar 10, 2021","85.3416","85.0145","85.4501","84.7406","-","-0.09%"
"Mar 09, 2021","85.4207","85.4296","85.8055","84.8573","-","0.06%"
"Mar 08, 2021","85.3688","86.8358","86.8512","85.1338","-","-0.57%"
"Mar 05, 2021","85.8592","84.8658","85.9781","84.8291","-","1.27%"
"Mar 04, 2021","84.7819","84.7984","85.7456","83.8474","-","-0.10%"
"Mar 03, 2021","84.8705","85.1901","85.5378","84.5986","-","-0.45%"
"Mar 02, 2021","85.2537","83.9626","85.6058","83.8414","-","0.56%"
"Mar 01, 2021","84.7821","86.1165","86.2966","84.5724","-","-0.58%"
"Feb 26, 2021","85.2778","86.6561","86.7183","85.2339","-","-2.11%"
"Feb 25, 2021","87.1179","87.8235","88.1229","86.8070","-","-0.53%"
"Feb 24, 2021","87.5827","86.5696","87.6457","86.2558","-","1.11%"
"Feb 23, 2021","86.6185","87.3863","87.4450","85.9535","-","-0.09%"
"Feb 22, 2021","86.6999","85.7897","86.7422","85.2356","-","1.64%"
"Feb 19, 2021","85.3002","84.4793","86.0276","84.4680","-","0.07%"
"Feb 18, 2021","85.2395","85.7257","85.7659","84.9870","-","0.05%"
"Feb 17, 2021","85.2003","85.0003","85.4100","84.5799","-","0.18%"
"Feb 16, 2021","85.0496","85.1313","85.1991","84.4630","-","1.17%"
"Feb 12, 2021","84.0621","83.2609","84.2650","82.9980","-","0.70%"
"Feb 11, 2021","83.4745","83.2978","84.0335","83.2524","-","-0.07%"
"Feb 10, 2021","83.5314","83.6069","83.9711","83.2852","-","-0.29%"
"Feb 09, 2021","83.7736","84.0075","84.0511","83.2711","-","0.28%"
"Feb 08, 2021","83.5421","82.8219","83.6276","82.7549","-","1.30%"
"Feb 05, 2021","82.4711","82.2358","82.9967","82.2168","-","0.60%"
"Feb 04, 2021","81.9778","81.8926","81.9994","81.1823","-","0.21%"
"Feb 03, 2021","81.8088","81.3211","81.9637","81.1565","-","0.67%"
"Feb 02, 2021","81.2652","81.7492","82.0546","81.2013","-","-0.41%"
"Feb 01, 2021","81.5962","81.0713","81.6441","80.8252","-","1.87%"
"Jan 29, 2021","80.0981","80.1678","81.0120","79.9237","-","0.13%"
