"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 1991","2,772.94","2,773.63","2,774.53","2,765.69","0","-0.02%"
"Sep 10, 1991","2,756.07","2,764.26","2,764.26","2,750.66","0","-0.3%"
"Sep 11, 1991","2,749.87","2,748.25","2,752.54","2,745.74","0","0.06%"
"Sep 12, 1991","2,763.62","2,749.43","2,766.34","2,749.43","0","0.52%"
"Sep 13, 1991","2,772.87","2,769.13","2,781.56","2,765.43","0","0.14%"
"Sep 16, 1991","2,767.01","2,766.11","2,770.17","2,757.86","0","0.03%"
"Sep 17, 1991","2,773.08","2,768.29","2,775.07","2,761.89","0","0.17%"
"Sep 18, 1991","2,789.1","2,771.74","2,789.1","2,768.29","0","0.63%"
"Sep 19, 1991","2,800.02","2,790.43","2,800.91","2,777.11","0","0.34%"
"Sep 20, 1991","2,842.63","2,808.95","2,855.97","2,806.86","0","1.2%"
"Sep 23, 1991","2,857.61","2,854.47","2,871.99","2,852.54","0","0.11%"
"Sep 24, 1991","2,851.12","2,854.18","2,856.48","2,841.43","0","-0.11%"
"Sep 25, 1991","2,857.59","2,852.41","2,861.43","2,850.93","0","0.18%"
"Sep 26, 1991","2,857.5","2,857.5","2,857.5","2,852.4","0","0%"
"Sep 27, 1991","2,847.5","2,847.5","2,853.4","2,847.5","0","0%"
"Sep 30, 1991","2,826.2","2,826.2","2,838.7","2,826.2","0","0%"
"Oct 01, 1991","2,830.4","2,830.4","2,830.4","2,813.8","0","0%"
"Oct 02, 1991","2,830.4","2,830.4","2,830.4","2,819","0","0%"
"Oct 03, 1991","2,830.4","2,830.4","2,830.4","2,830.4","0","0%"
"Oct 04, 1991","2,740.89","2,748.84","2,751.19","2,727.73","0","-0.29%"
"Oct 07, 1991","2,760.65","2,737.59","2,763.78","2,737.44","0","0.84%"
"Oct 08, 1991","2,754.41","2,756.59","2,759.27","2,746.47","0","-0.08%"
"Oct 09, 1991","2,759.08","2,752.25","2,759.08","2,751.61","0","0.25%"
"Oct 10, 1991","2,756.31","2,754.44","2,758.63","2,751.71","0","0.07%"
"Oct 11, 1991","2,744.07","2,755.03","2,755.77","2,739.65","0","-0.4%"
"Oct 14, 1991","2,726.26","2,738.24","2,740.42","2,720.3","0","-0.44%"
"Oct 15, 1991","2,735.95","2,726.64","2,736.16","2,724.05","0","0.34%"
"Oct 16, 1991","2,751.47","2,739.43","2,752.28","2,739.21","0","0.44%"
"Oct 17, 1991","2,747.95","2,761.35","2,762.7","2,743.59","0","-0.49%"
"Oct 18, 1991","2,759.38","2,744.19","2,761.13","2,742.4","0","0.55%"
"Oct 21, 1991","2,777.75","2,777.14","2,784","2,772.31","0","0.02%"
"Oct 22, 1991","2,806.58","2,781.97","2,806.61","2,781.33","0","0.88%"
"Oct 23, 1991","2,796.56","2,794.52","2,796.56","2,781.95","0","0.07%"
"Oct 24, 1991","2,771.42","2,784.49","2,786.28","2,765.63","0","-0.47%"
"Oct 25, 1991","2,756.1","2,760.55","2,762.21","2,752.73","0","-0.16%"
"Oct 28, 1991","2,786.8","2,765.13","2,787.04","2,764.79","0","0.78%"
"Oct 29, 1991","2,777.56","2,789.12","2,792.34","2,776.98","0","-0.41%"
"Oct 30, 1991","2,775.69","2,772.87","2,776.4","2,768.51","0","0.1%"
"Oct 31, 1991","2,765.08","2,768.78","2,768.87","2,760.51","0","-0.13%"
"Nov 04, 1991","2,709.92","2,736.67","2,739.36","2,705.17","0","-0.98%"
"Nov 05, 1991","2,709.04","2,697.91","2,712.07","2,697.91","0","0.41%"
"Nov 06, 1991","2,694.11","2,709.82","2,710.26","2,690.86","0","-0.58%"
"Nov 07, 1991","2,673.12","2,688.63","2,692.29","2,673.04","0","-0.58%"
"Nov 08, 1991","2,704","2,687.58","2,708.04","2,687.49","0","0.61%"
"Nov 11, 1991","2,698.45","2,715.4","2,717.77","2,689.28","0","-0.62%"
"Nov 12, 1991","2,677.74","2,683.83","2,683.98","2,671.41","0","-0.23%"
"Nov 13, 1991","2,660.16","2,669.01","2,672.39","2,650.4","0","-0.33%"
"Nov 14, 1991","2,632.6","2,645.76","2,646.08","2,625.08","0","-0.5%"
"Nov 15, 1991","2,634.62","2,615.59","2,644.62","2,614.95","0","0.73%"
"Nov 18, 1991","2,600.59","2,565.13","2,605.08","2,564.11","0","1.38%"
"Nov 19, 1991","2,594.04","2,605.83","2,633.68","2,587.73","0","-0.45%"
"Nov 20, 1991","2,615.21","2,594.09","2,615.29","2,591.54","0","0.81%"
"Nov 21, 1991","2,604.15","2,616.3","2,617.47","2,592.9","0","-0.46%"
"Nov 22, 1991","2,597.86","2,596.44","2,598.19","2,586.98","0","0.05%"
"Nov 25, 1991","2,567.27","2,580","2,582.95","2,552.12","0","-0.49%"
"Nov 26, 1991","2,585.8","2,562.82","2,590.01","2,562.07","0","0.9%"
"Nov 27, 1991","2,587.63","2,587.27","2,589.39","2,561.77","0","0.01%"
"Nov 28, 1991","2,609.91","2,603.12","2,613.02","2,601.11","0","0.26%"
"Nov 29, 1991","2,610.56","2,614.46","2,619.93","2,598.84","0","-0.15%"
"Dec 02, 1991","2,573.69","2,574.52","2,579.27","2,558.52","0","-0.03%"
"Dec 03, 1991","2,596.21","2,586.13","2,596.46","2,582.44","0","0.39%"
"Dec 04, 1991","2,598.2","2,599.16","2,603.32","2,598.09","0","-0.04%"
"Dec 05, 1991","2,588.14","2,585.39","2,588.7","2,576.6","0","0.11%"
"Dec 10, 1991","2,550.01","2,562.88","2,565.25","2,549.32","0","-0.5%"
"Dec 11, 1991","2,524.26","2,536.17","2,538.04","2,518.23","0","-0.47%"
"Dec 12, 1991","2,535.64","2,518.54","2,536.41","2,518.54","0","0.68%"
"Dec 13, 1991","2,546.77","2,565.84","2,571.29","2,543.77","0","-0.74%"
"Dec 16, 1991","2,514.58","2,481.22","2,526.6","2,481.22","0","1.34%"
"Dec 17, 1991","2,507.28","2,511.03","2,512.6","2,501.08","0","-0.15%"
"Dec 18, 1991","2,482.06","2,491.58","2,492.02","2,476.61","0","-0.38%"
"Dec 19, 1991","2,452.57","2,466.4","2,466.4","2,439.93","0","-0.56%"
"Dec 20, 1991","2,465.05","2,441.7","2,475.3","2,438.84","0","0.96%"
"Dec 23, 1991","2,457.28","2,450.84","2,457.82","2,445.96","0","0.26%"
"Dec 26, 1991","2,492.25","2,476.36","2,499.5","2,476.36","0","0.64%"
"Dec 27, 1991","2,513.68","2,512.95","2,516.67","2,503.41","0","0.03%"
"Dec 30, 1991","2,561.21","2,521.54","2,561.21","2,521.39","0","1.57%"
"Dec 31, 1991","2,603.3","2,592.89","2,608.42","2,584.25","0","0.4%"
"Jan 02, 1992","2,507.83","2,548.27","2,548.27","2,500.87","0","-1.59%"
"Jan 03, 1992","2,572.34","2,503.98","2,577.24","2,503.65","0","2.73%"
"Jan 07, 1992","2,607.31","2,576.07","2,607.31","2,575.61","0","1.21%"
"Jan 08, 1992","2,627.39","2,607.08","2,627.91","2,597.7","0","0.78%"
