Symbol|Security|GICS Sector|GICS Sub-Industry|Founded|from1|to1|from2|to2|from3|to3
A|Agilent Technologies|Health Care|Health Care Equipment|1999|2000-06-05|||||
AA|Alcoa Inc|||||2016-11-01||||
AAL|American Airlines Group|Industrials|Airlines|1934|2015-03-23|||||
AAP|Advance Auto Parts|Consumer Discretionary|Automotive Retail|1932|2015-07-09|||||
AAPL|Apple Inc.|Information Technology|Technology Hardware, Storage & Peripherals|1977|1982-11-30|||||
ABBV|AbbVie Inc.|Health Care|Pharmaceuticals|2013|2012-12-31|||||
ABC|AmerisourceBergen|Health Care|Health Care Distributors|1985|2001-08-30|||||
ABK|Ambac Financial||||2000-12-05|2008-06-10||||
ABMD|Abiomed|Health Care|Health Care Equipment|1981|2018-05-31|||||
ABS|Albertsons|||||2006-06-02||||
ABT|Abbott Laboratories|Health Care|Health Care Equipment|1888|1964-03-31|||||
ACAS|American Capital|||||2009-03-03||||
ACN|Accenture|Information Technology|IT Consulting & Other Services|1989|2011-07-06|||||
ADBE|Adobe Inc.|Information Technology|Application Software|1982|1997-05-05|||||
ADI|Analog Devices, Inc.|Information Technology|Semiconductors|1965|1999-10-12|||||
ADM|Archer-Daniels-Midland Co|Consumer Staples|Agricultural Products|1902|1981-07-29|||||
ADP|Automatic Data Processing|Information Technology|Data Processing & Outsourced Services|1949|1981-03-31|||||
ADS|Alliance Data Systems||||2013-12-23|2020-06-22||||
ADSK|Autodesk Inc.|Information Technology|Application Software|1982|1989-12-01|||||
ADT|ADT Corp||||2012-10-01|2016-05-03||||
AEE|Ameren Corp|Utilities|Multi-Utilities|1902|1991-09-19|||||
AEP|American Electric Power|Utilities|Electric Utilities|1906|1957-03-04|||||
AES|AES Corp|Utilities|Independent Power Producers & Energy Traders|1981|1998-10-02|||||
AET|Aetna Inc|||||2018-12-03||||
AFL|Aflac|Financials|Life & Health Insurance|1955|1999-05-28|||||
AGN|Allergan|||||2020-05-12||||
AGN|Allergan, Inc|||||2015-03-23||||
AIG|American International Group|Financials|Property & Casualty Insurance|1919|1980-03-31|||||
AIV|Apartment Investment & Management|||||2020-12-21||||
AIZ|Assurant|Financials|Multi-line Insurance|1892|2007-04-10|||||
AJG|Arthur J. Gallagher & Co.|Financials|Insurance Brokers|1927|2016-05-31|||||
AKAM|Akamai Technologies|Information Technology|Internet Services & Infrastructure|1998|2007-07-12|||||
AKS|AK Steel Holding Corp.|||||2011-12-16||||
ALB|Albemarle Corporation|Materials|Specialty Chemicals|1994|2016-07-01|||||
ALGN|Align Technology|Health Care|Health Care Supplies|1997|2017-06-19|||||
ALK|Alaska Air Group|Industrials|Airlines|1985|2016-05-13|||||
ALL|Allstate Corp|Financials|Property & Casualty Insurance|1931|1995-07-13|||||
ALLE|Allegion|Industrials|Building Products|1908|2013-12-02|||||
ALTR|Altera Corp|||||2015-12-29||||
ALXN|Alexion Pharmaceuticals|Health Care|Pharmaceuticals|1992|2012-05-25|||||
AMAT|Applied Materials Inc.|Information Technology|Semiconductor Equipment|1967|1995-03-16|||||
AMCR|Amcor plc|Materials|Paper Packaging|2019|2019-06-07|||||
AMD|Advanced Micro Devices|Information Technology|Semiconductors|1969||2013-09-20|2017-03-20|||
AME|Ametek|Industrials|Electrical Components & Equipment|1930|2013-09-23|||||
AMG|Affiliated Managers Group||||2014-07-01|2019-12-23||||
AMGN|Amgen Inc.|Health Care|Biotechnology|1980|1992-01-02|||||
AMP|Ameriprise Financial|Financials|Asset Management & Custody Banks|1894|2005-10-03|||||
AMT|American Tower Corp.|Real Estate|Specialized REITs|1995|2007-11-19|||||
AMZN|Amazon.com Inc.|Consumer Discretionary|Internet & Direct Marketing Retail|1994|2005-11-18|||||
AN|AutoNation Inc|||||2017-08-08||||
ANDV|Andeavor|||||2018-10-01||||
ANET|Arista Networks|Information Technology|Communications Equipment|2004|2018-08-28|||||
ANF|Abercrombie & Fitch|||||2013-12-23||||
ANR|Alpha Natural Resources||||2011-06-01|2012-10-02||||
ANSS|ANSYS, Inc.|Information Technology|Application Software|1969|2017-06-19|||||
ANTM|Anthem|Health Care|Managed Health Care|2014|2002-07-25|||||
AON|Aon plc|Financials|Insurance Brokers|1982|1996-04-23|||||
AOS|A.O. Smith Corp|Industrials|Building Products|1916|2017-07-26|||||
APA|APA Corporation|Energy|Oil & Gas Exploration & Production|1954|1997-07-28|||||
APC|Anadarko Petroleum|||||2019-08-09||||
APD|Air Products & Chemicals|Materials|Industrial Gases|1940|1985-04-30|||||
APH|Amphenol Corp|Information Technology|Electronic Components|1932|2008-09-30|||||
APOL|Apollo Group Inc.|||||2013-06-28||||
APTV|Aptiv PLC|Consumer Discretionary|Auto Parts & Equipment|1994|2012-12-24|||||
ARE|Alexandria Real Estate Equities|Real Estate|Office REITs|1994|2017-03-20|||||
ARG|Airgas Inc||||2009-09-28|2016-05-23||||
ARNC|Arconic Inc||||2016-11-01|||||
ATI|Allegheny Technologies|||||2015-07-02||||
ATO|Atmos Energy|Utilities|Gas Utilities|1906|2019-02-15|||||
ATVI|Activision Blizzard|Communication Services|Interactive Home Entertainment|2008|2015-08-31|||||
AV|Avaya Inc.|||||2007-10-26||||
AVB|AvalonBay Communities|Real Estate|Residential REITs|1978|2007-01-10|||||
AVGO|Broadcom Inc.|Information Technology|Semiconductors|1961|2014-05-08|||||
AVP|Avon Products|||||2015-03-23||||
AVY|Avery Dennison Corp|Materials|Paper Packaging|1990|1987-12-31|||||
AWK|American Water Works|Utilities|Water Utilities|1886|2016-03-04|||||
AXP|American Express|Financials|Consumer Finance|1850|1976-06-30|||||
AYE|Allegheny Energy Inc.||||2000-12-05|2011-02-25||||
AYI|Acuity Brands||||2016-05-03|2018-06-18||||
AZO|AutoZone Inc|Consumer Discretionary|Specialty Stores|1979|1997-01-02|||||
BA|Boeing Company|Industrials|Aerospace & Defense|1916|1957-03-04|||||
BAC|Bank of America Corp|Financials|Diversified Banks|1998|1976-06-30|||||
BAX|Baxter International Inc.|Health Care|Health Care Equipment|1931|1972-09-30|||||
BBBY|Bed Bath & Beyond|||||2017-07-26||||
BBY|Best Buy Co. Inc.|Consumer Discretionary|Computer & Electronics Retail|1966|1999-06-29|||||
BCR|CR Bard|||||2018-01-03||||
BDX|Becton Dickinson|Health Care|Health Care Equipment|1897|1972-09-30|||||
BEAM|Beam Inc.|||||2014-05-01||||
BEN|Franklin Resources|Financials|Asset Management & Custody Banks|1947||||||
BF.B|Brown-Forman Corp.|Consumer Staples|Distillers & Vintners|1870|1982-10-31|||||
BHF|Brighthouse Financial||||2017-08-08|2019-04-02||||
BIG|Big Lots Inc.|||||2013-02-15||||
BIIB|Biogen Inc.|Health Care|Biotechnology|1978|2003-11-13|||||
BIO|Bio-Rad Laboratories|Health Care|Life Sciences Tools & Services|1952|2020-06-22|||||
BJS|BJ Services Company|||||2010-04-29||||
BK|The Bank of New York Mellon|Financials|Asset Management & Custody Banks|1784|1995-03-31|||||
BKNG|Booking Holdings Inc|Consumer Discretionary|Internet & Direct Marketing Retail|1996|2009-11-06|||||
BKR|Baker Hughes Co|Energy|Oil & Gas Equipment & Services|2017|2017-07-07|||||
BLK|BlackRock|Financials|Asset Management & Custody Banks|1988|2011-04-04|||||
BLL|Ball Corp|Materials|Metal & Glass Containers|1880|1984-10-31|||||
BMC|BMC Software|||||2013-09-10||||
BMS|Bemis Company|||||2014-12-05|2019-06-07|||
BMY|Bristol-Myers Squibb|Health Care|Health Care Distributors|1989|1957-03-04|||||
BR|Broadridge Financial Solutions|Information Technology|Data Processing & Outsourced Services|1962|2018-06-18|||||
BRCM|Broadcom Corporation|||||2016-02-01||||
BRK.B|Berkshire Hathaway|Financials|Multi-Sector Holdings|1839|2010-02-16|||||
BS|Bethlehem Steel|||||2000-12-05||||
BSX|Boston Scientific|Health Care|Health Care Equipment|1979|1995-02-24|||||
BTU|Peabody Energy|||||2014-09-20||||
